id,name,film_base,origin,exposure,grain,halation,vignette,blue_response,calibration,action
provia-standard,Natural Standard,provia,publicOfficialDocumentation,0,0,0.01,0.04,0.02,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
classic-chrome,Muted Color,classicChrome,publicOfficialDocumentation,0,0.5,0.04,0.12,0.18,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
velvia-vivid,Vivid Slide,velvia,publicOfficialDocumentation,0,0,0.02,0.1,0.34,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
astia-soft,Soft Portrait,astia,publicOfficialDocumentation,0,0,0.03,0.08,0.04,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
pro-neg-high,Defined Negative,proNegative,publicOfficialDocumentation,0,0,0.01,0.06,0.02,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
eterna-cinema,Cinema Soft,eterna,publicOfficialDocumentation,0,0,0.1,0.16,-0.06,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
acros-monochrome,Fine Monochrome,monochrome,publicOfficialDocumentation,0,0.5,0.02,0.14,0,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
sepia-archive,Sepia Archive,sepia,publicOfficialDocumentation,0,0.5,0.02,0.12,0,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
acros-neutral-filter,Neutral Monochrome,acros,publicOfficialDocumentation,0,0.5,0.01,0.14,0,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
acros-yellow-filter,Yellow Monochrome,acrosYellow,publicOfficialDocumentation,0,0.5,0.01,0.14,0,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
acros-red-filter,Red Monochrome,acrosRed,publicOfficialDocumentation,0,0.5,0.01,0.16,0,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
acros-green-filter,Green Monochrome,acrosGreen,publicOfficialDocumentation,0,0.5,0.01,0.13,0,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
classic-negative,Warm Negative,classicNegative,publicOfficialDocumentation,0,0.5,0.06,0.14,0.24,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
nostalgic-negative,Memory Negative,nostalgicNegative,publicOfficialDocumentation,0,0.5,0.12,0.18,0.3,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
eterna-bleach-bypass,Silver Cinema,eternaBleachBypass,publicOfficialDocumentation,0,0.5,0.04,0.18,0.08,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
pro-neg-standard,Neutral Portrait,proNegStandard,publicOfficialDocumentation,0,0,0.03,0.08,0.02,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
reala-ace,Natural Negative,realaAce,publicOfficialDocumentation,0,0,0.02,0.06,0.14,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
g7x-compact,G7 X Compact,compactDigital,publicCanonDocumentation,0.05,0,0,0,0,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
nostalgic-summer,Nostalgic Summer,nostalgicNegative,publicOfficialRecipe,0.45,0.5,0.06,0.1,0.2,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
aurea-golden,Aurea Golden,nostalgicNegative,publicOfficialRecipe,0.33,0.5,0.08,0.12,0.2,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
eternal-pastel,Eternal Pastel,classicChrome,publicOfficialRecipe,0.33,1,0.06,0.12,0.14,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
crepuscolo-blue,Crepuscolo Blue,nostalgicNegative,publicOfficialRecipe,0,1,0.05,0.16,0.2,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
black-ice,Black Ice,acrosYellow,publicOfficialRecipe,0,1,0.01,0.16,0,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
matter-monochrome,Matter Monochrome,acrosYellow,publicOfficialRecipe,0,0.5,0.01,0.14,0,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
honey-portrait,Honey Portrait,astia,publicOfficialRecipe,0.33,0.5,0.04,0.08,0.04,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
pacifica-100,Pacifica 100,velvia,publicOfficialRecipe,0,1,0.02,0.12,0.04,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
desert-daydream,Desert Daydream,velvia,publicOfficialRecipe,0,0.5,0.03,0.1,0.04,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
quiet-provia,Quiet Provia,provia,publicOfficialRecipe,0,0,0.01,0.06,0.04,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
velvet-haze,Velvet Haze,proNegStandard,publicOfficialRecipe,0,0,0.06,0.1,0.04,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
pastel-400,Pastel 400,classicChrome,publicCommunityRecipe,0.83,1,0.05,0.1,0.14,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
archive-64,Archive 64,classicChrome,publicCommunityRecipe,0.67,0.5,0.03,0.09,0.14,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
tungsten-800,Tungsten 800,eterna,publicCommunityRecipe,0.17,1,0.2,0.18,0.08,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
pushed-tungsten,Pushed Tungsten,eternaBleachBypass,publicCommunityRecipe,0.17,1,0.14,0.18,0.08,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
pacific-blues,Pacific Blues,classicNegative,publicCommunityRecipe,0.83,1,0.05,0.14,0.24,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
green-800,Green 800,proNegStandard,publicCommunityRecipe,0.67,1,0.04,0.13,0.04,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
hp5-texture,HP5 Texture,monochrome,publicCommunityRecipe,0,1,0.01,0.16,0,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
negative-portrait-160,Portrait 160,proNegStandard,originalCreativeDesign,0.12,0.5,0.02,0.04,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
negative-portrait-400,Portrait 400,proNegative,originalCreativeDesign,0.08,0.5,0.04,0.06,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
negative-portrait-800,Portrait 800,nostalgicNegative,originalCreativeDesign,0.1,0.5,0.08,0.1,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
negative-gold-200,Gold 200,classicNegative,originalCreativeDesign,0.05,0.5,0.04,0.1,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
negative-consumer-400,Consumer 400,realaAce,originalCreativeDesign,0,0.5,0.02,0.09,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
negative-coastal-100,Coastal 100,provia,originalCreativeDesign,0.1,0.5,0.01,0.03,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
negative-city-200,City 200,classicChrome,originalCreativeDesign,-0.04,0.5,0.01,0.11,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
negative-soft-cream,Soft Cream,astia,originalCreativeDesign,0.17,0.5,0.05,0.05,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
negative-olive-400,Olive 400,classicNegative,originalCreativeDesign,-0.02,0.5,0.03,0.12,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
negative-rose-200,Rose 200,proNegStandard,originalCreativeDesign,0.08,0.5,0.04,0.06,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
negative-pastel-day,Pastel Day,astia,originalCreativeDesign,0.22,0.5,0.03,0.02,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
negative-woodland,Woodland Negative,realaAce,originalCreativeDesign,-0.07,0.5,0.02,0.12,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
negative-copper-800,Copper 800,nostalgicNegative,originalCreativeDesign,-0.03,0.5,0.1,0.13,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
negative-winter-200,Winter 200,provia,originalCreativeDesign,0.08,0.5,0.02,0.04,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
negative-travel-400,Travel 400,realaAce,originalCreativeDesign,0.05,0.5,0.03,0.07,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
negative-faded-album,Faded Album,nostalgicNegative,originalCreativeDesign,0.1,0.5,0.08,0.18,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
slide-chrome-50,Chrome 50,velvia,originalCreativeDesign,-0.08,0.5,0.01,0.08,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
slide-chrome-100,Chrome 100,provia,originalCreativeDesign,-0.04,0.5,0.02,0.06,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
slide-mountain-50,Mountain 50,velvia,originalCreativeDesign,-0.15,0.5,0.01,0.12,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
slide-warm-projector,Warm Projector,provia,originalCreativeDesign,-0.03,0.5,0.04,0.14,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
slide-cool-chrome,Cool Chrome,realaAce,originalCreativeDesign,-0.06,0.5,0.01,0.05,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
slide-sunset-chrome,Sunset Chrome,velvia,originalCreativeDesign,-0.1,0.5,0.06,0.1,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
slide-botanical,Botanical Slide,velvia,originalCreativeDesign,-0.07,0.5,0.02,0.07,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
slide-soft-transparency,Soft Transparency,astia,originalCreativeDesign,0.05,0.5,0.02,0.03,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
slide-blue-hour,Blue Hour Slide,provia,originalCreativeDesign,-0.14,0.5,0.04,0.13,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
slide-archive-projector,Archive Projector,classicChrome,originalCreativeDesign,-0.04,0.5,0.05,0.19,0.03,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
cinema-daylight-250,Daylight 250,eterna,originalCreativeDesign,0.05,0.5,0.05,0.06,0.16,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
cinema-tungsten-500,Cinema Tungsten 500,eterna,originalCreativeDesign,-0.04,0.5,0.13,0.1,0.16,Not hardware-calibrated,Preserve authored controls and stable ID; add neutral/source-traced alternatives
